SongID,TrackName,Artists,Genre,FilePath
1,Bass Inside,AC Slater,Bass House,..\data\audio_files\processed\1.mp3
2,Fly Kicks - Wax Motif Remix,AC Slater/Chris Lorenzo/Wax Motif,Bass House,..\data\audio_files\processed\2.mp3
3,Take Me Away,ACRAZE,Pop Dance,..\data\audio_files\processed\3.mp3
4,Heard It Like This,ACRAZE/Joey Valence & Brae,Pop Dance,..\data\audio_files\processed\4.mp3
5,Spring Girl - Vintage Culture Remix,Adam Ten/Maori/Vintage Culture,Israeli Techno,..\data\audio_files\processed\5.mp3
6,Back Again,Alaia & Gallo,Funky House,..\data\audio_files\processed\6.mp3
7,I Wanna Know - Alesso & Deniz Koyu Remix,Alesso/Nico & Vinz/Deniz Koyu,Dance Pop,..\data\audio_files\processed\7.mp3
8,Nova Vida - Osmo Remix,Allen French/Osmo,,..\data\audio_files\processed\8.mp3
9,Drum Machine,Alok/Pickle,Electro House,..\data\audio_files\processed\9.mp3
10,Body Pump - Lady Bee Remix,Aluna/Lady Bee,Dance Pop,..\data\audio_files\processed\10.mp3
11,Killing Me,Aluna/TSHA,Dance Pop,..\data\audio_files\processed\11.mp3
12,Done To Me,Amés,,..\data\audio_files\processed\12.mp3
13,Frikitona,Andruss,Mexican Tech House,..\data\audio_files\processed\13.mp3
14,Relax My Eyes,ANOTR/Abel Balder,Dutch Tech House,..\data\audio_files\processed\14.mp3
15,I Want Your Soul - Mau P Remix,Armand Van Helden/Mau P,Big Beat,..\data\audio_files\processed\15.mp3
16,U Got Me,ATFC,Deep House,..\data\audio_files\processed\16.mp3
17,Hipcats,ATFC/David Penn,Deep House,..\data\audio_files\processed\17.mp3
18,Escape (with Nomra),Audien/Nomra,Edm,..\data\audio_files\processed\18.mp3
19,See You On The Other Side [Upmost Remix],Audien/Upmost,Edm,..\data\audio_files\processed\19.mp3
20,See You On The Other Side,Audien,Edm,..\data\audio_files\processed\20.mp3
21,Something Better,Audien/Lady A,Edm,..\data\audio_files\processed\21.mp3
22,Bling (feat. Lady Leshurr),Autoerotique/Lady Leshurr,Brostep,..\data\audio_files\processed\22.mp3
23,Vertigo,Autograf/Malou/Burko,Deep Tropical House,..\data\audio_files\processed\23.mp3
24,RIZZ,AYYBO,,..\data\audio_files\processed\24.mp3
25,PLAY SOME RECORDS,AYYBO/Dances,,..\data\audio_files\processed\25.mp3
26,HYPNOSIS,AYYBO/ero808,,..\data\audio_files\processed\26.mp3
27,DRENCH,AYYBO/Preme,,..\data\audio_files\processed\27.mp3
28,Other Side,Azzecca,,..\data\audio_files\processed\28.mp3
29,Everybody Goes,Bellecour,Bass House,..\data\audio_files\processed\29.mp3
30,Life Lesson,Belters Only/Sonny Fodera/Jazzy,Charva,..\data\audio_files\processed\30.mp3
31,Moonlight,Beltran/Mandragora,,..\data\audio_files\processed\31.mp3
32,Million Dollar Bill,Beyond Chicago/Majestic/Alex Mills,,..\data\audio_files\processed\32.mp3
33,Do You Feel It,Biscits,Bass House,..\data\audio_files\processed\33.mp3
34,Don't Stop,Biscits,Bass House,..\data\audio_files\processed\34.mp3
35,Selecta,Biscits,Bass House,..\data\audio_files\processed\35.mp3
36,365,Biscits/Camden Cox,Bass House,..\data\audio_files\processed\36.mp3
37,Intergalactic,Black V Neck,Bass House,..\data\audio_files\processed\37.mp3
38,Like Whoa,Black V Neck,Bass House,..\data\audio_files\processed\38.mp3
39,Bring The Noise,Black V Neck/Rave Rae,Bass House,..\data\audio_files\processed\39.mp3
40,Boom Boom,Bleu Clair,Bass House,..\data\audio_files\processed\40.mp3
41,The Rhythm,Bleu Clair,Bass House,..\data\audio_files\processed\41.mp3
42,Peanut Butter,Bleu Clair/Dances,Bass House,..\data\audio_files\processed\42.mp3
43,Killer Bee,Bleu Clair/OOTORO/Chyra,Bass House,..\data\audio_files\processed\43.mp3
44,Call My Name,BLOND:ISH,Deep Disco House,..\data\audio_files\processed\44.mp3
45,Sorry (with Madonna),BLOND:ISH/Madonna/Eran Hersh/Darmon,Deep Disco House,..\data\audio_files\processed\45.mp3
46,All Cried Out (feat. Alex Newell) - Radio Edit,Blonde/Alex Newell,House,..\data\audio_files\processed\46.mp3
47,Lipstick (feat. Robbie Rise),BLR/Robbie Rise,Dutch Edm,..\data\audio_files\processed\47.mp3
48,Save Our Soul - Rework 2021,Bob Sinclar,Disco House,..\data\audio_files\processed\48.mp3
49,Ti Sento,Bob Sinclar/Matia Bazar/Antonella Ruggiero,Disco House,..\data\audio_files\processed\49.mp3
50,Make Me - Franky Rizardo Remix,Borai & Denham Audio/Franky Rizardo,,..\data\audio_files\processed\50.mp3
51,Tokyo Bill,Born Dirty/Bellecour,Bass House,..\data\audio_files\processed\51.mp3
52,From Paris to Berlin (Chrit Leaf Remix),Braaheim/Chrit Leaf,Covertronica,..\data\audio_files\processed\52.mp3
53,Bridgework,Bruce Trail,Lo-Fi House,..\data\audio_files\processed\53.mp3
54,Bongoloco,Bruno Furlan,Brazilian Edm,..\data\audio_files\processed\54.mp3
55,La Fiesta,Bruno Furlan,Brazilian Edm,..\data\audio_files\processed\55.mp3
56,Space Bump,Bruno Furlan/Deeft,Brazilian Edm,..\data\audio_files\processed\56.mp3
57,I Want You,Butch/Nic Fanciulli,Acid Techno,..\data\audio_files\processed\57.mp3
58,Brighter Days - Marco Lys Remix,Cajmere/Dajae/Marco Lys,Chicago House,..\data\audio_files\processed\58.mp3
59,CARNET - Cloonee Remix,Caleb Calloway/Saiko/Cloonee,Urbano Latino,..\data\audio_files\processed\59.mp3
60,Maja,Cantoma,Chill Lounge,..\data\audio_files\processed\60.mp3
61,Me Gusta,Carol Seubert,,..\data\audio_files\processed\61.mp3
62,LOVE DESIRE,CASSIMM,Tech House,..\data\audio_files\processed\62.mp3
63,Me Me Me,Catz 'n Dogz/Nala,Deep Disco House,..\data\audio_files\processed\63.mp3
64,Don't Let The Bass Get Ya,Cazztek,Bass House,..\data\audio_files\processed\64.mp3
65,To The Beat,Cazztek,Bass House,..\data\audio_files\processed\65.mp3
66,I Want You,Chris Lake,Bass House,..\data\audio_files\processed\66.mp3
67,Operator (Ring Ring) [feat. Dances With White Girls],Chris Lake/Dances,Bass House,..\data\audio_files\processed\67.mp3
68,Stay With Me,Chris Lake,Bass House,..\data\audio_files\processed\68.mp3
69,Turn off the Lights (feat. Alexis Roberts),Chris Lake/Alexis Roberts,Bass House,..\data\audio_files\processed\69.mp3
70,Beggin',Chris Lake/Aluna,Bass House,..\data\audio_files\processed\70.mp3
71,More Baby - VIP Mix,Chris Lake/Aluna,Bass House,..\data\audio_files\processed\71.mp3
72,More Baby,Chris Lake/Aluna,Bass House,..\data\audio_files\processed\72.mp3
73,Y.O.D.O,Chris Lake/Destructo,Bass House,..\data\audio_files\processed\73.mp3
74,Drop Top,Chris Lake/Walker & Royce,Bass House,..\data\audio_files\processed\74.mp3
75,Pump,Chris Lorenzo,Bass House,..\data\audio_files\processed\75.mp3
76,Bongos,Chris Lorenzo/Crazy Cousinz/Calista Kazuko,Bass House,..\data\audio_files\processed\76.mp3
77,All Night Long,Chris Stussy,Dutch Tech House,..\data\audio_files\processed\77.mp3
78,Words With You - Tchami Remix,Chromeo/Tchami,Alternative Dance,..\data\audio_files\processed\78.mp3
79,The Big Easy,Claptone,German House,..\data\audio_files\processed\79.mp3
80,Fine Night,Cloonee,Tech House,..\data\audio_files\processed\80.mp3
81,Weeping Willow,Cloonee/Sosa UK,Tech House,..\data\audio_files\processed\81.mp3
82,So Damn Funky,Codes,Bass House,..\data\audio_files\processed\82.mp3
83,jd sports,counsel pop,,..\data\audio_files\processed\83.mp3
84,Fresh - House of Prayers Poolside Edit,Crazibiza/House of Prayers,Funky Tech House,..\data\audio_files\processed\84.mp3
85,Scrap The Book,Crazy P,Deep House,..\data\audio_files\processed\85.mp3
86,Seeing Is Believing,Curbi,Dutch House,..\data\audio_files\processed\86.mp3
87,Set Me Free,D.O.D,Electro House,..\data\audio_files\processed\87.mp3
88,Little Perk,Dale Howard,Tech House,..\data\audio_files\processed\88.mp3
89,Wingz,Damien N-Drix,,..\data\audio_files\processed\89.mp3
90,Not Available,Damien N-Drix/jeonghyeon,,..\data\audio_files\processed\90.mp3
91,"Calabria (feat. Fallen Roses, Lujavo & Lunis) - Shift K3Y Edit",Dance Fruits Music/DMNDS/Fallen Roses/Lunis/Shift K3Y/Lujavo,Lo-Fi Product,..\data\audio_files\processed\91.mp3
92,Chase The Sun - VIP,DANNY AVILA,,..\data\audio_files\processed\92.mp3
93,Alegria,Dave Winnel,,..\data\audio_files\processed\93.mp3
94,Aurora,David Scott,,..\data\audio_files\processed\94.mp3
95,imaginary friends (ov) - Morgan Page Remix,deadmau5/Morgan Page,Canadian Electronic,..\data\audio_files\processed\95.mp3
96,La Samba,Deep Xcape,South African Deep House,..\data\audio_files\processed\96.mp3
97,Tonight,Deep Xcape/Mpho,South African Deep House,..\data\audio_files\processed\97.mp3
98,Up N' Down (feat. JmNPR),Deeper Purpose/BRN/JmNPR,Tech House,..\data\audio_files\processed\98.mp3
99,Heart Isn't Home - Volac Remix,Denis First/VOLAC,Russian Edm,..\data\audio_files\processed\99.mp3
100,Weird Japanese Girl,Desired,Future Funk,..\data\audio_files\processed\100.mp3
101,"Bandz (feat. Yo Gotti, Kevin Gates & Denzel Curry) - Loge21 Remix",Destructo/Yo Gotti/Denzel Curry/Kevin Gates/Loge21,Bass House,..\data\audio_files\processed\101.mp3
102,HEAVEN'S GATES (feat. Izzy Camina) - Manila Killa Remix,Devault/Izzy Camina/Manila Killa,Vapor Twitch,..\data\audio_files\processed\102.mp3
103,DFR - Black Caviar Remix,Dillon Francis/Black Caviar,Brostep,..\data\audio_files\processed\103.mp3
104,On A Trip (with Marten Hørger),Dillon Francis/Marten Hørger,Brostep,..\data\audio_files\processed\104.mp3
105,Still Not Butter,Dillon Francis,Brostep,..\data\audio_files\processed\105.mp3
106,Real Love - Shelco Garcia & Teenwolf Remix,Dillon Francis/Aleyna Tilki/Shelco Garcia & Teenwolf,Brostep,..\data\audio_files\processed\106.mp3
107,Say Less - Dillon Francis & Moksi Remix,Dillon Francis/G-Eazy/Moksi,Brostep,..\data\audio_files\processed\107.mp3
108,Wormhole,Dillon Marinez,,..\data\audio_files\processed\108.mp3
109,Feel Alright,Dillon Nathaniel,Bass House,..\data\audio_files\processed\109.mp3
110,Obsessions,Dillon Nathaniel,Bass House,..\data\audio_files\processed\110.mp3
111,Stay High,Diplo/HUGEL/Julia Church,Dance Pop,..\data\audio_files\processed\111.mp3
112,Favela Joint,Diplo/Kura,Dance Pop,..\data\audio_files\processed\112.mp3
113,Express Yourself - Mochakk Remix,Diplo/Mochakk/Nicky Da B,Dance Pop,..\data\audio_files\processed\113.mp3
114,Diamond Therapy,Diplo/Walker & Royce/Channel Tres,Dance Pop,..\data\audio_files\processed\114.mp3
115,Moonlight,Disclosure,Edm,..\data\audio_files\processed\115.mp3
116,Ultimatum - Edit,Disclosure/Fatoumata Diawara,Edm,..\data\audio_files\processed\116.mp3
117,Magnets - A-Trak Remix,Disclosure/Lorde/A-Trak,Edm,..\data\audio_files\processed\117.mp3
118,I See Colors,Disco Lines/Rain Radio,Stutter House,..\data\audio_files\processed\118.mp3
119,Gumby,DJ Hanzel/Dillon Francis,,..\data\audio_files\processed\119.mp3
120,Pull Up,DJ Hanzel/Dillon Francis,,..\data\audio_files\processed\120.mp3
121,Rock Wit U - Yoruba Soul Mix - Edit,DJ Jazzy Jeff/Erro/Osunlade,East Coast Hip Hop,..\data\audio_files\processed\121.mp3
122,The Throne,DJ Minx,Detroit House,..\data\audio_files\processed\122.mp3
123,U,DJ Seinfeld,Lo-Fi House,..\data\audio_files\processed\123.mp3
124,Guddi Riddim,DJ Snake/Wade/Nooran Sisters,Dance Pop,..\data\audio_files\processed\124.mp3
125,Eat Your Man (with Nelly Furtado),Dom Dolla/Nelly Furtado,Australian House,..\data\audio_files\processed\125.mp3
126,Saving Up,Dom Dolla,Australian House,..\data\audio_files\processed\126.mp3
127,Strangers (with Mansionair),Dom Dolla/Mansionair,Australian House,..\data\audio_files\processed\127.mp3
128,Take It,Dom Dolla,Australian House,..\data\audio_files\processed\128.mp3
129,Bless Me (with Discrete),Dombresky/Discrete,Bass House,..\data\audio_files\processed\129.mp3
130,Futurmastic,Dombresky,Bass House,..\data\audio_files\processed\130.mp3
131,Meli-Melo,Dombresky,Bass House,..\data\audio_files\processed\131.mp3
132,Soul Sacrifice,Dombresky,Bass House,..\data\audio_files\processed\132.mp3
133,Feel It Deep Inside,Dopamine/Sigala,,..\data\audio_files\processed\133.mp3
134,Lights Go Down,Drinks On Me/Why So Low,Bassline,..\data\audio_files\processed\134.mp3
135,LALALA,Duck Sauce/Armand Van Helden/A-Trak,Disco House,..\data\audio_files\processed\135.mp3
136,Greenleaf,Duke Hugh,Indie Jazz,..\data\audio_files\processed\136.mp3
137,Just Be Good To Me - Radio Edit,Earth n Days,Funky House,..\data\audio_files\processed\137.mp3
138,Naquele Pique,Eddy M/Gabe,Italian Tech House,..\data\audio_files\processed\138.mp3
139,Don't Need U (feat. Akua),Eden Prince/Akua,Dance Pop,..\data\audio_files\processed\139.mp3
140,Lift Your Energy,Eden Prince,Dance Pop,..\data\audio_files\processed\140.mp3
141,Real Good,Eden Prince,Dance Pop,..\data\audio_files\processed\141.mp3
142,This Feeling,Eden Prince/Alex Mills,Dance Pop,..\data\audio_files\processed\142.mp3
143,Toxic,Eden Prince/Marco Foster,Dance Pop,..\data\audio_files\processed\143.mp3
144,Memories,Eden Prince/Nonô,Dance Pop,..\data\audio_files\processed\144.mp3
145,Power,Ekali/NITTI,Brostep,..\data\audio_files\processed\145.mp3
146,Be The One,Eli Brown,House,..\data\audio_files\processed\146.mp3
147,Body Moving,Eliza Rose/Calvin Harris,House,..\data\audio_files\processed\147.mp3
148,B.O.T.A. (Baddest Of Them All) - Edit,Eliza Rose/Interplanetary Criminal,House,..\data\audio_files\processed\148.mp3
149,Pleasure Peak,Eliza Rose/The Martinez Brothers,House,..\data\audio_files\processed\149.mp3
150,Calling,Ellis Moss,Tech House,..\data\audio_files\processed\150.mp3
151,Control - Disco Lines Remix,Emmit Fenn/Disco Lines,Chill House,..\data\audio_files\processed\151.mp3
152,Who Dat,Emmit Fenn,Chill House,..\data\audio_files\processed\152.mp3
153,Fakez,Endor,Deep Groove House,..\data\audio_files\processed\153.mp3
154,Lovin' is Everywhere,Engelwood,Chillhop,..\data\audio_files\processed\154.mp3
155,Daemon Veil,Eprom/G Jones,Downtempo Bass,..\data\audio_files\processed\155.mp3
156,Lennon,ESSEL,Tech House,..\data\audio_files\processed\156.mp3
157,Love Vibration,ESSEL,Tech House,..\data\audio_files\processed\157.mp3
158,Sweat,ESSEL,Tech House,..\data\audio_files\processed\158.mp3
159,The Edge,ESSEL,Tech House,..\data\audio_files\processed\159.mp3
160,Groove Thang,Ewan McVicar,Scottish Techno,..\data\audio_files\processed\160.mp3
161,Break Me,Fab Massimo,Tech House,..\data\audio_files\processed\161.mp3
162,Frank Frazetta,Feed Me,Brostep,..\data\audio_files\processed\162.mp3
163,Losing It - Radio Edit,FISHER,Australian House,..\data\audio_files\processed\163.mp3
164,Stop It,FISHER,Australian House,..\data\audio_files\processed\164.mp3
165,TAKE IT OFF,FISHER/Aatig,Australian House,..\data\audio_files\processed\165.mp3
166,Atmosphere,FISHER/Kita Alexander,Australian House,..\data\audio_files\processed\166.mp3
167,We Give Thee Honor,Floorplan,Chicago House,..\data\audio_files\processed\167.mp3
168,Chunky,Format:B,German Tech House,..\data\audio_files\processed\168.mp3
169,Aldo Raine,Fouk,Deep House,..\data\audio_files\processed\169.mp3
170,Billie (loving arms),Fred again..,Edm,..\data\audio_files\processed\170.mp3
171,adore u,Fred again../Obongjayar,Edm,..\data\audio_files\processed\171.mp3
172,Baby again..,Fred again../Skrillex/Four Tet,Edm,..\data\audio_files\processed\172.mp3
173,Understanding the Possibility,G Jones,Brostep,..\data\audio_files\processed\173.mp3
174,Which Way,G Jones,Brostep,..\data\audio_files\processed\174.mp3
175,Tell Me You Love Me,Galantis/Throttle,Dance Pop,..\data\audio_files\processed\175.mp3
176,VIRUS - Odd Mob Remix,GEN.KLOUD/Odd Mob,,..\data\audio_files\processed\176.mp3
177,Acid (All Night Long),GENESI,,..\data\audio_files\processed\177.mp3
178,Everything You Have Done - Meduza Edit,GENESI/MEDUZA,,..\data\audio_files\processed\178.mp3
179,Work!,Gigamesh/Kaleena Zanders,Electrofox,..\data\audio_files\processed\179.mp3
180,True Romance (feat. Jarina De Marco) - Chris Lake Remix,Good Times Ahead/Jarina De Marco/Chris Lake,Brostep,..\data\audio_files\processed\180.mp3
181,Voodoo,Gorgon City,Future Garage,..\data\audio_files\processed\181.mp3
182,Laser Fire,GRiZ,Glitch Hop,..\data\audio_files\processed\182.mp3
183,Let's Get Weird,GRiZ,Glitch Hop,..\data\audio_files\processed\183.mp3
184,Born To Flow - Shane D Remix,Groove Junkies/Baskerville Jones/Shane D,Deep House,..\data\audio_files\processed\184.mp3
185,Infinite,Habstrakt,Bass House,..\data\audio_files\processed\185.mp3
186,I Wanna,Habstrakt/Jace Mek,Bass House,..\data\audio_files\processed\186.mp3
187,Good Love,Hannah Laing/RoRo,Charva,..\data\audio_files\processed\187.mp3
188,Show Me Love,HELLMATE/Santiago & Carlitos/Chantal Lewis Brown,,..\data\audio_files\processed\188.mp3
189,Move Mint - VIP,Herobust,Brostep,..\data\audio_files\processed\189.mp3
190,WTF VIP - Herobust VIP Mix,Herobust,Brostep,..\data\audio_files\processed\190.mp3
191,Most Really Pretty Girls Have Pretty Ugly Feet,HNNY,Deep House,..\data\audio_files\processed\191.mp3
192,Solsidan - Original Mix,HNNY,Deep House,..\data\audio_files\processed\192.mp3
193,Stand (feat. Cor.Ece) - Edit,Honey Dijon/Cor.Ece,,..\data\audio_files\processed\193.mp3
194,Bring It Back,HoneyLuv/Cakes da Killa,Tech House,..\data\audio_files\processed\194.mp3
195,Never Enough,Hot Since 82/Us Two/Paige Cavell,Deep Disco House,..\data\audio_files\processed\195.mp3
196,You & I,HotLap/SHELLS,,..\data\audio_files\processed\196.mp3
197,NaNa Djon,HUGEL/Francis Mercier/Victor Démé,Deep House,..\data\audio_files\processed\197.mp3
198,Tututu - Radio Edit,HUGEL/Malóne/PV Aparataje/KD One/CVMPANILE/Draxx (ITA),Deep House,..\data\audio_files\processed\198.mp3
199,Marianela (Que Pasa),HUGEL/Merk & Kremont/Lirico En La Casa,Deep House,..\data\audio_files\processed\199.mp3
200,Dale,HUGEL/Peppe Citarella/Billy the Diamond,Deep House,..\data\audio_files\processed\200.mp3
201,Chakachaka,HUGEL/Tom Enzy/Nfasis/Damien N-Drix,Deep House,..\data\audio_files\processed\201.mp3
202,Why Can't U,Hush Hush,,..\data\audio_files\processed\202.mp3
203,Ohh LALA,Idris Elba/Sasha GiGi,Uk Tech House,..\data\audio_files\processed\203.mp3
204,Last Night a D.J. Saved My Life - Smeddles More Ass Mix,Indeep/George Smeddles,Post-Disco,..\data\audio_files\processed\204.mp3
205,Angst,INZO,,..\data\audio_files\processed\205.mp3
206,Bass In Yo Face,INZO,,..\data\audio_files\processed\206.mp3
207,Let It Slide,INZO/Blookah/Leo Napier,,..\data\audio_files\processed\207.mp3
208,Food for the Soul,it's murph,Stutter House,..\data\audio_files\processed\208.mp3
209,Dancing At The Disco,J. Worra/Cherry Tooth,Bass House,..\data\audio_files\processed\209.mp3
210,All The Girls,J. Worra/Shift K3Y,Bass House,..\data\audio_files\processed\210.mp3
211,The Feels,jackLNDN,Nu Disco,..\data\audio_files\processed\211.mp3
212,Drums (Feat. Kim Petras),James Hype/Kim Petras,Deep Groove House,..\data\audio_files\processed\212.mp3
213,Lose Control,James Hype,Deep Groove House,..\data\audio_files\processed\213.mp3
214,Number 1,James Hype/Major Lazer,Deep Groove House,..\data\audio_files\processed\214.mp3
215,The Boy Is Mine,James Mac/Vall/Rosalie,Melodic House,..\data\audio_files\processed\215.mp3
216,Fine Fine Baby (with Kah-Lo),Jamie Jones/Kah-Lo,Deep Disco House,..\data\audio_files\processed\216.mp3
217,Lose My Mind,Jamie Jones,Deep Disco House,..\data\audio_files\processed\217.mp3
218,Rinse,Jared Jackson,,..\data\audio_files\processed\218.mp3
219,Forever,Jax Jones/RobbieG,Dance Pop,..\data\audio_files\processed\219.mp3
220,Giving Me,Jazzy,Pop Dance,..\data\audio_files\processed\220.mp3
221,NRG,Jazzy,Pop Dance,..\data\audio_files\processed\221.mp3
222,Stardust,Jazzy,Pop Dance,..\data\audio_files\processed\222.mp3
223,Bel Mercy,Jengi,Dutch Pop,..\data\audio_files\processed\223.mp3
224,Take U,Jengi,Dutch Pop,..\data\audio_files\processed\224.mp3
225,Vibration,Jenn Getz & Alfie,,..\data\audio_files\processed\225.mp3
226,Bad Bassline,Jenn Getz & Alfie/DJ Luck & MC Neat,,..\data\audio_files\processed\226.mp3
227,Temptation (feat. Poppy Baskcomb),Jess Bays/Poppy Baskcomb,Uk Dance,..\data\audio_files\processed\227.mp3
228,Colourblind,Jess Bays/Hayley May,Uk Dance,..\data\audio_files\processed\228.mp3
229,Real Love,Jess Bays/Kelli-Leigh,Uk Dance,..\data\audio_files\processed\229.mp3
230,Come My Way,JLV/Jawedsway/Jerry Island,Chill House,..\data\audio_files\processed\230.mp3
231,Show Me (feat. Hannah Boleyn),John Summit/Hannah Boleyn,Edm,..\data\audio_files\processed\231.mp3
232,Where You Are - Gorgon City Remix,John Summit/Hayla/Gorgon City,Edm,..\data\audio_files\processed\232.mp3
233,Legacy,John Summit/VLTRA (IT),Edm,..\data\audio_files\processed\233.mp3
234,I Don't Speak French (Adieu),Jonas Aden/RebMoe,Dutch House,..\data\audio_files\processed\234.mp3
235,JOY (Up The Street),Joy Anonymous,,..\data\audio_files\processed\235.mp3
236,4AM,JOYRYDE,Bass House,..\data\audio_files\processed\236.mp3
237,ON FIRE,JOYRYDE,Bass House,..\data\audio_files\processed\237.mp3
238,i'm shy when i'm around you,Justin Jay,Bass House,..\data\audio_files\processed\238.mp3
239,I Feel It,Kaivon,Future Bass,..\data\audio_files\processed\239.mp3
240,All Fckd Up,Kapuzen,Tech House,..\data\audio_files\processed\240.mp3
241,Jorts FTW,Kaskade/Too Many Zooz,Edm,..\data\audio_files\processed\241.mp3
242,Girl,KC Lights,Deep Groove House,..\data\audio_files\processed\242.mp3
243,Better Times,KC Lights/Låpsley,Deep Groove House,..\data\audio_files\processed\243.mp3
244,You Are In My System - Faster Horses Sport Mix,Kerri Chandler/Dennis Quin/Troy Denari/Faster Horses,Deep House,..\data\audio_files\processed\244.mp3
245,Work,Kevin McKay/Denise Belfon/Pupa Nas T,Tech House,..\data\audio_files\processed\245.mp3
246,Hideaway,Kiesza,Electropop,..\data\audio_files\processed\246.mp3
247,Red Lights (feat. Dotter) [Just A Gent Remix],Kill Paris/Dotter/Just A Gent,Chillstep,..\data\audio_files\processed\247.mp3
248,Love All Day feat. Leela D - Radio Edit,Kisch/Leela D,Deep Groove House,..\data\audio_files\processed\248.mp3
249,Low Rider (2livemafia Remix),Klypso/Snoop Dogg/Doggface/War/2livemafia,,..\data\audio_files\processed\249.mp3
250,REWiND - Wolfgang Gartner Remix,Knock2/Wolfgang Gartner,Bassline,..\data\audio_files\processed\250.mp3
251,Sweat,KREAM,Pop Dance,..\data\audio_files\processed\251.mp3
252,The Switch,KREAM,Pop Dance,..\data\audio_files\processed\252.mp3
253,Changes,Kungs/Shadow Child,Edm,..\data\audio_files\processed\253.mp3
254,Easy Tiger,Kyle Watson,Bass House,..\data\audio_files\processed\254.mp3
255,Escaping It (feat. Tania Foster),Kyle Watson/Tania Foster,Bass House,..\data\audio_files\processed\255.mp3
256,The Reason,Kyle Watson,Bass House,..\data\audio_files\processed\256.mp3
257,TikTak,Laidback Luke/Öwnboss/Kapuzen,Big Room,..\data\audio_files\processed\257.mp3
258,Never Leave You (Uh Oh) - Club Mix,Leandro Da Silva/AtcG/Sara De Sanctis,,..\data\audio_files\processed\258.mp3
259,Colourblind,Les Loups/Cybil,Filter House,..\data\audio_files\processed\259.mp3
260,Love's Just a Feeling (feat. Rooty),Lindsey Stirling/RuthAnne,Bow Pop,..\data\audio_files\processed\260.mp3
261,Wonder Woman - NVOY Remix,LION BABE/NVOY,Alternative R&B,..\data\audio_files\processed\261.mp3
262,Connected,LO'99,Australian House,..\data\audio_files\processed\262.mp3
263,Skydance,LO'99/Ray Foxx,Australian House,..\data\audio_files\processed\263.mp3
264,Break It Down - Original Mix,Loge21,Bass House,..\data\audio_files\processed\264.mp3
265,Drop That,Loge21,Bass House,..\data\audio_files\processed\265.mp3
266,Ghetto Symphony,Loge21,Bass House,..\data\audio_files\processed\266.mp3
267,New Life,Loge21,Bass House,..\data\audio_files\processed\267.mp3
268,It Made Me Fearless - ASHEZ Remix,L*o*J/Ashez,Experimental Bass,..\data\audio_files\processed\268.mp3
269,COULD BE WRONG,LOSTBOYJAY,,..\data\audio_files\processed\269.mp3
270,Waiting,LP Giobbi/Redfield/DJ Rae,House,..\data\audio_files\processed\270.mp3
271,If Love Is A Skill,LP Giobbi/Sofi Tukker,House,..\data\audio_files\processed\271.mp3
272,R.A.V.E - Zingara Remix,LSDREAM/Shlump/Zingara,,..\data\audio_files\processed\272.mp3
273,STARCHILD,LSDREAM/Shlump/Sarah Hudson,,..\data\audio_files\processed\273.mp3
274,Vermilion,Luca Lush,Electronic Trap,..\data\audio_files\processed\274.mp3
275,Shut Up - Leagas Rmx,Lucci Minati/Leagas,,..\data\audio_files\processed\275.mp3
